Datetime#2019-02-14 02:00:33.526#$GTIMU,2040,324345.600,0.0354,0.1046,-0.0297,-0.0117,-0.0017,1.0001,52.9*46
Datetime#2019-02-14 02:00:34.726#$GTIMU,2040,324346.800,-0.0405,-0.1344,0.0098,-0.0156,0.0028,0.9999,52.9*4D
Datetime#2019-02-14 02:00:35.926#$GTIMU,2040,324348.000,-0.0961,-0.1294,0.0198,-0.0223,0.0053,0.9994,52.9*49
Datetime#2019-02-14 02:00:37.126#$GTIMU,2040,324349.200,-0.0303,-0.0796,-0.0199,-0.0127,0.0030,0.9986,53.0*67
Datetime#2019-02-14 02:00:38.326#$GTIMU,2040,324350.400,-0.0355,-0.0199,0.0248,-0.0189,-0.0025,0.9988,53.0*62
Datetime#2019-02-14 02:00:39.526#$GTIMU,2040,324351.600,-0.0405,-0.1194,0.0049,-0.0187,0.0006,1.0004,52.9*43
Datetime#2019-02-14 02:00:40.726#$GTIMU,2040,324352.800,0.0150,-0.0099,0.0248,-0.0159,0.0047,0.9977,52.9*6B
Datetime#2019-02-14 02:00:41.926#$GTIMU,2040,324354.000,0.0707,0.0947,-0.0248,-0.0178,0.0018,1.0004,52.9*67
Datetime#2019-02-14 02:00:43.126#$GTIMU,2040,324355.200,-0.0001,-0.0945,0.0049,-0.0187,0.0019,0.9998,52.9*4C
Datetime#2019-02-14 02:00:44.326#$GTIMU,2040,324356.400,-0.0354,0.0697,-0.0297,-0.0192,0.0010,0.9991,52.9*4F
Datetime#2019-02-14 02:00:45.526#$GTIMU,2040,324357.600,0.0505,-0.1990,-0.0101,-0.0202,-0.0014,1.0009,52.9*68
Datetime#2019-02-14 02:00:46.726#$GTIMU,2040,324358.800,-0.0404,0.1295,-0.0148,-0.0198,0.0031,0.9957,52.9*4A
Datetime#2019-02-14 02:00:47.926#$GTIMU,2040,324360.000,-0.0556,-0.0597,-0.0198,-0.0214,0.0009,0.9970,52.9*62
Datetime#2019-02-14 02:00:49.126#$GTIMU,2040,324361.200,0.0151,0.1544,0.0001,-0.0150,-0.0027,0.9974,52.9*67
Datetime#2019-02-14 02:00:50.326#$GTIMU,2040,324362.400,-0.0052,-0.0348,0.0198,-0.0180,-0.0003,0.9998,52.9*63
Datetime#2019-02-14 02:00:51.526#$GTIMU,2040,324363.600,-0.0052,0.1494,0.0100,-0.0111,0.0006,0.9953,53.0*64
Datetime#2019-02-14 02:00:52.726#$GTIMU,2040,324364.800,-0.0203,0.0697,-0.0099,-0.0116,0.0014,0.9983,52.9*46
