Datetime#2019-01-24 15:06:04.116#$GPFPD,2037,371420.000,61.196,0.110,0.211,20.5165703,113.8633101,39.93,-0.021,0.077,0.082,5.380,16,16,04*5B
Datetime#2019-01-24 15:06:05.116#$GPFPD,2037,371421.000,61.217,0.040,0.206,20.5165710,113.8633100,40.03,-0.008,0.086,0.095,5.376,16,16,04*5C
Datetime#2019-01-24 15:06:06.116#$GPFPD,2037,371422.000,61.237,-0.033,0.233,20.5165716,113.8633101,40.14,0.006,0.068,0.072,5.377,16,16,04*58
Datetime#2019-01-24 15:06:07.116#$GPFPD,2037,371423.000,61.245,-0.083,0.285,20.5165718,113.8633104,40.19,0.012,0.033,0.022,5.378,16,16,04*5D
Datetime#2019-01-24 15:06:08.610#$GPFPD,2037,371424.000,61.248,-0.094,0.346,20.5165719,113.8633104,40.19,-0.001,0.013,-0.032,5.381,16,16,04*59
Datetime#2019-01-24 15:06:09.610#$GPFPD,2037,371425.000,61.253,-0.067,0.406,20.5165718,113.8633102,40.14,-0.027,0.012,-0.070,5.379,16,16,04*53
Datetime#2019-01-24 15:06:10.610#$GPFPD,2037,371426.000,61.260,-0.013,0.448,20.5165716,113.8633098,40.09,-0.049,0.015,-0.074,5.377,16,16,04*5C
Datetime#2019-01-24 15:06:12.116#$GPFPD,2037,371428.000,61.248,0.087,0.423,20.5165714,113.8633086,40.00,-0.048,0.019,-0.006,5.377,16,16,04*79
Datetime#2019-01-24 15:06:13.114#$GPFPD,2037,371429.000,61.225,0.096,0.359,20.5165716,113.8633081,40.02,-0.027,0.023,0.035,5.380,16,16,04*5B
Datetime#2019-01-24 15:06:14.114#$GPFPD,2037,371430.000,61.203,0.071,0.288,20.5165718,113.8633078,40.08,-0.001,0.027,0.058,5.380,16,16,04*5A
Datetime#2019-01-24 15:06:15.114#$GPFPD,2037,371431.000,61.185,0.023,0.229,20.5165720,113.8633079,40.16,0.019,0.031,0.055,5.376,16,16,04*78
Datetime#2019-01-24 15:06:16.114#$GPFPD,2037,371432.000,61.165,-0.024,0.195,20.5165723,113.8633083,40.20,0.021,0.029,0.024,5.376,16,16,04*5C
Datetime#2019-01-24 15:06:17.610#$GPFPD,2037,371433.000,61.141,-0.049,0.186,20.5165725,113.8633083,40.22,-0.003,0.022,-0.011,5.379,16,16,04*54
Datetime#2019-01-24 15:06:18.610#$GPFPD,2037,371434.000,61.112,-0.044,0.198,20.5165723,113.8633081,40.19,-0.040,0.014,-0.036,5.378,16,16,04*5D
Datetime#2019-01-24 15:06:19.610#$GPFPD,2037,371435.000,61.085,-0.013,0.227,20.5165724,113.8633075,40.15,-0.071,0.009,-0.045,5.378,16,16,04*5C
Datetime#2019-01-24 15:06:21.610#$GPFPD,2037,371437.000,61.075,0.063,0.315,20.5165721,113.8633059,40.07,-0.045,-0.008,-0.018,5.378,16,16,04*50
